City,Temperature,Condition
Accra,77ʡF,Passing clouds. Warm.
Addis Ababa,57ʡF,Partly sunny. Cool.
Adelaide,66ʡF,Refreshingly cool.
Algiers,86ʡF,Passing clouds. Warm.
Almaty,82ʡF,Partly sunny. Pleasantly warm.
Amman,68ʡF,Haze. Mild.
Amsterdam*,66ʡF,Passing clouds. Mild.
Anadyr,58ʡF,Passing clouds. Refreshingly cool.
Anchorage*,55ʡF,Overcast. Cool.
Ankara,64ʡF,Scattered clouds. Mild.
Antananarivo,61ʡF,Passing clouds. Cool.
Asuncion,59ʡF,Clear. Cool.
Athens*,75ʡF,Mild.
Atlanta*,66ʡF,Overcast. Mild.
Auckland,59ʡF,Passing clouds. Refreshingly cool.
Bangkok,84ʡF,Rain. Scattered clouds. Warm.
Barcelona*,77ʡF,Light rain. Partly cloudy. Warm.
Beijing,82ʡF,Sunny. Pleasantly warm.
Beirut*,82ʡF,Scattered clouds. Warm.
Belgrade*,66ʡF,Passing clouds. Mild.
Bengaluru,79ʡF,Scattered clouds. Warm.
Berlin*,54ʡF,Sunny. Cool.
Bogota,50ʡF,Passing clouds. Cool.
Boston*,62ʡF,Passing clouds. Cool.
Brasilia,68ʡF,Clear. Mild.
Brisbane,72ʡF,Mild.
Brussels*,66ʡF,Scattered clouds. Mild.
Bucharest*,61ʡF,Sunny. Cool.
Budapest*,63ʡF,Sunny. Mild.
Buenos Aires,57ʡF,Clear. Cool.
Cairo*,75ʡF,Scattered clouds. Mild.
Calgary*,68ʡF,Mostly cloudy. Mild.
Canberra,70ʡF,Passing clouds. Mild.
Cape Town,50ʡF,Sunny. Cool.
Caracas,77ʡF,Passing clouds. Warm.
Casablanca*,72ʡF,Mild.
Chicago*,58ʡF,Passing clouds. Refreshingly cool.
Copenhagen*,61ʡF,Clear. Cool.
Dallas*,71ʡF,Passing clouds. Mild.
Dar es Salaam,72ʡF,Passing clouds. Mild.
Darwin,91ʡF,Sunny. Hot.
Denver*,65ʡF,Passing clouds. Mild.
Detroit*,54ʡF,Clear. Cool.
Dhaka,84ʡF,Low clouds. Warm.
Doha,100ʡF,Passing clouds. Extremely hot.
Dubai,93ʡF,Clear. Extremely hot.
Dublin*,50ʡF,Passing clouds. Cool.
